,project_code,standardized_text,Target_Vector,transformed_column,Predicted_Vector
463,2018.1.00531.S,fragmentation and chemical evolution in high mass star formation the early evolutionary sequence of high mass star formation is still not clear to investigate this we propose to map a massive star forming filament within the g complex in band and with m array aca and total power the clumps on the filament are in different evolutionary stages from a potential starless clump to ultracompact hii regions giving us the exceptional opportunity to study key parameters as a function of the evolutionary stage i e time the main scientific goals are a to resolve the clumps down to pc to investigate how the fragmentation proceeds from less to more evolved clumps such as the fragment masses and separations and compare the results with e g jeans and turbulent fragmentation theories b to investigate the radial density profile of each resolved core and establish whether it changes as a function of the evolutionary stages of the cores c to investigate the deuterium fraction n n d n n h characteristics between the onset of gravitational collapse and more evolved stages d to study the kinematics of the high mass star forming complex investigate the global collapse from clump to core scale,"[0.0, 0.0, 0.0, 0.0, 0.6363636363636364, 0.36363636363636365, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.006164287216961384, 0.33676138520240784, 0.02436104603111744, 0.012078402563929558, 0.46862494945526123, 0.11482347548007965, 0.019528761506080627, 0.011338974349200726, 0.0063187493942677975]"
464,2018.1.00543.S,simultaneous agn and star formation driven feedback in action on a massive typical galaxy at z powerful outflows driven by agn and star formation activity play a key role in transforming star forming galaxies above the schechter mass into passive systems understanding this process is essential at z when the cosmic star formation density and frequency of outflow activity in galaxies peaked yet our knowledge of feedback in typical massive star forming galaxies at z is incomplete given the little knowledge we have of molecular outflows to improve upon this situation we propose to study the molecular outflow in gs a typical massive galaxy at z our high resolution ha data reveal that this galaxy has two distinct modes of outflow acting simultaneously a nuclear agn driven outflow and an extended outflow most likely powered by massive star forming clumps our proposed observations represent a unique opportunity to simultaneously investigate on the same spatial scales the characteristics of both ionized and molecular phases of outflows driven by agn and star forming activity these observations will provide a direct test of feedback driven quenching in normal massive galaxies in the component that carries most of the mass the molecular gas,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0062957643531262875, 0.6478229761123657, 0.04810832813382149, 0.01606757380068302, 0.17437686026096344, 0.05368999391794205, 0.03403012454509735, 0.011710846796631813, 0.007897553965449333]"
465,2018.1.00581.S,finally resolving the molecular torus of the closest sy agn the circinus galaxy a toroidal distribution of molecular gas and dust is a key component in the classical picture of active galactic nuclei agn this so called molecular torus is held responsible for the orientation dependent obscuration of the central engine and it plays a fundamental role for the accretion onto the supermassive black hole despite its importance its physical properties have become even less clear in the last years with the discovery of polar elongated dust structures and the contradicting first results for ngc here we propose to finally resolve the molecular torus in the circinus galaxy the closest seyfert galaxy and thus the ideal target to study the continuum and molecular emission of the central agn dominated source with the highest possible angular resolution down to mas pc we will directly map the molecular gas on scales similar to the already established parsec scale dust structures we target hco and hcn j and in order to trace the morphology kinematics and temperature stratification of the dense material around this agn we especially aim to distinguish if the structures are dominated by inflowing rotating or ouflowing motions,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.007160755340009928, 0.20965607464313507, 0.047840096056461334, 0.01815439760684967, 0.4356592297554016, 0.22760698199272156, 0.029855934903025627, 0.015077776275575161, 0.008988698944449425]"
466,2018.1.00588.S,probing the stellar imf in main sequence galaxies in the early universe we request observing time in order to built on our success of using it as a powerful new probe of the stellar initial mass function imf in dusty starburst galaxies zhang et al nature isotopes of cno elements are solely produced by stellar nucleosynthesis and ejected into interstellar medium ism imprinted with imf accomplished with galactic chemical evolution modelling which is well benchmarked against rich data in the milky way the co c o line ratio has been demonstrated as a powerful tool for probing stellar imf in galaxies across cosmic time this opens up a unique new window of exploring fundamental issues of galaxy evolution in the early universe exploiting recent advances in stellar physics our current request for observations seeks to expand the scope of our investigation in starbursts to include the imf and dense gas fraction in main sequence galaxies in the early universe which contribute most of the cosmic star formation,"[0.0, 0.21428571428571427, 0.7857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.007584822829812765, 0.24884764850139618, 0.054942645132541656, 0.022100042551755905, 0.42257487773895264, 0.1826511025428772, 0.0337093248963356, 0.016855522990226746, 0.010733949951827526]"
467,2018.1.00589.S,a resolved measurement of the break of hcn h and star formation relations in a local starburst environment galaxies follow several scaling laws between the amount of star formation and its available fuel samples of luminous galactic clumps follow the extragalactic gao solomon relation between hcn proxy for the amount of dense gas and bolometric luminosity star formation rate these clumps are key because they dominate the star formation rate of our galaxy and presumably correspond to the typical environments in vigorous star forming galaxies and starbursts we propose for the first resolved measurement of scaling laws between hcn h and star formation rate in one of the most luminous star forming clumps in the milky way w n lbol lsun including two j transitions and isotopologues to disentangle optical depth and excitation effects our single dish measurements show that the extragalactic relations are valid in this environment at clump scales the data will serve to measure at which scale these relations break somewhere between the scale of the full clump pc and of star forming cores pc the results will give important insight on the possible origin of extragalactic star formation relations as the outcome of the physics within cluster forming clumps,"[0.0, 0.7142857142857143, 0.0, 0.0, 0.2857142857142857, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.00636689318343997, 0.6446784138679504, 0.035888224840164185, 0.014436613768339157, 0.19957856833934784, 0.05342235416173935, 0.027646658942103386, 0.010626755654811859, 0.007355479523539543]"
468,2018.1.00633.S,c i observations toward gaseous debris disks with aca we propose a mini survey observation of the fine structure line of atomic carbon c i p p ghz toward three gaseous debris disks candidates in band at an angular resolution of arcsec we recently succeeded in the first detection of the c i line toward the representative debris disks ceti and beta pictoris with the aste m telescope and found that the c co ratio is as high as and respectively higuchi et al cataldi et al submitted the c co ratio may be the best way to tell whether the gas is primordial with a standard h co ratio or secondary no h and mostly from icy grains the high c co ratio supports a smaller abundance of h because the c to co conversion reaction requires h the smaller abundance of h implies the gas has a secondary origin thus the c i observation will provide us with a novel method to derive the gas to dust ratio h mass dust in the debris disks in this program we extend this method to a larger sample with to understand the history of gas dissipation in the planetary system formation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.00920238345861435, 0.09078239649534225, 0.04260711744427681, 0.023512350395321846, 0.49398842453956604, 0.26862895488739014, 0.0357903428375721, 0.022616777569055557, 0.012871280312538147]"
469,2018.1.00663.S,revealing gmcs in a new superbright lensed z submillimeter galaxy we propose to characterize gmcs via multi line observations co hcn cii at pc scale in an ultrabright lensed submillimeter galaxy at z this new source has a similar sed from optical mid ir to submm radio but significantly higher fluxes than the well known lensed smg smmj the cosmic eyelash z it was identified as a result of our full sky correlation of the planck compact source catalogue with wise rest frame uv spectroscopy of this lensed galaxy obtained with the m gtc shows the typical spectrum of a starburst galaxy at z noema ddt observations confirmed unambigiously its smg nature via a low resolution co detection at very high significance i co jy km s factor brighter than the cosmic eyelash resulting in the brightest co detection ever of an smg the morpohology and size of the molecuar gas reservoir is completely unclear its unseen apparent co brightness offers the opportunity to get new insights in the star formation processes of galaxies at the peak of the cosmic star formation density and establish the cosmic eyebrow as new reference source at z for galaxy evolution,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006235641892999411, 0.6116188764572144, 0.05951019376516342, 0.01732497289776802, 0.182632714509964, 0.06464540213346481, 0.03678172826766968, 0.012503741309046745, 0.008746705017983913]"
470,2018.1.00692.S,high precision polarization study of the fast variability at the base of an agn jet active galactic nuclei agn produce powerful jets of relativistic plasma emitting non thermal synchrotron radiation recently we have reported the first measurement of faraday rotation at submm wavelengths from the jet base of the lensed quasar pks for that we analysed dual polarization data with a differential polarization technique in which basically the relative difference in polarization state of the two lensed images was measured we now propose full polarization observations of the same object at band we will probe variability of the polarization angle on timescales of few minutes to a couple of hours allowing us to discriminate the different models of particle shock interaction in agn jets and their role in the submm polarimetry and in the production of high energy radiation these full polarization observations will also allow us to confirm bona fide the validity of our differential polarimetry technique,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.006111757829785347, 0.30952009558677673, 0.034620463848114014, 0.01466476358473301, 0.4394611120223999, 0.150845468044281, 0.024824248626828194, 0.012859444133937359, 0.007092643529176712]"
471,2018.1.00794.S,a high mass young star mimicking a red giant stellar structure has long predicted that the seed of a forming high mass star would be a luminous lower mass object in a bloated state testing this hypothesis is extremely challenging because such seeds would be highly embedded if the outflow inclination angle is favourable to the observer the photospheric light flashes through the cavity we have discovered one such object an enigmatic near infrared bright variable star k mag j k with h alpha emission and a spectral energy distribution of a massive yso it is located at the peak of a massive star forming clump traced by atlasgal and a ghz methanol maser indicating massive outflow is located from the star new echelle zyjhk spectra of this star surprisingly represents a miii type red giant new vla continuum data at resolution do not show any free free emission we want to search for outflow and or accretion signatures around this star using finding which will lead to the discovery of the first bloated massive protostar,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0052599599584937096, 0.07928081601858139, 0.02027953788638115, 0.010423206724226475, 0.6695355176925659, 0.1824483573436737, 0.01560826227068901, 0.011697052046656609, 0.005467263516038656]"
472,2018.1.00799.S,what is the role of angular momentum in disk formation comparing big and small disks around class the existence of large and massive disks around class protostars is hotly contended both observationally and on theoretical grounds one of the key parameters to constrain the disk formation is the radial distribution of the specific angular momentum which is directly related to the maximum size of a keplerian disk we propose to observe class objects with very different disk properties with in band to determine the dense gas kinematics these observations will provide a unique dataset to determine the angular momentum profile form au down to au for both sources these results will establish if the difference in the disk size between these two sources is due to the initial conditions of the parental dense core,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006052853539586067, 0.029530299827456474, 0.0177303459495306, 0.01051076129078865, 0.636333703994751, 0.26541247963905334, 0.015552820637822151, 0.012730330228805542, 0.006146383937448263]"
473,2018.1.00804.S,redshifts of bright herschel gravitational lenses we propose to continue our successful aca co redshift measurements of of the brightest s m jy strongly gravitationally lensed submm galaxies from the herschel atlas plus bright act mm wave sources these simple observations ideal for the aca will double the sample size of h atlas background source redshifts complementing our long term m class foreground lens redshift campaigns our pioneering lens selection negrello et al science has an astonishing efficiency and the gravitational amplification makes co line detection up to faster than in unlensed surveys we will provide spectroscopic confirmation of gravitational lensing by finding submm redshifts that are clearly higher than the redshifts of the lensing masses this on its own is already enough to make statistical constraints on the dark matter halo profiles combined with our ongoing multi wavelength campaigns we will start placing direct constraints on the evolving dark matter distribution of the lenses the joint lenssource redshift distribution is a key discriminator of cosmological parameters and the evolution of dark matter haloes,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.005919043906033039, 0.22583197057247162, 0.03849584609270096, 0.015190543606877327, 0.5008782148361206, 0.16730354726314545, 0.026589419692754745, 0.012466690503060818, 0.007324723061174154]"
474,2018.1.00816.S,massive molecular gas flows encasing radio bubbles in the phoenix cluster powerful radio jets launched by a central supermassive black hole pump a substantial amount of energy into their host galaxies and cluster environment this feedback from the central agn is thought to suppress gas cooling and star formation at late times to regulate the growth of massive galaxies and cooling of their surrounding hot atmospheres the phoenix cluster at z hosts an extreme example of this common mechanism in galaxy evolution our cycle observations of the central galaxy revealed billion solar mass filaments of molecular gas each kpc long and drawn up around the peripheries of the inner radio bubbles inflated by the jet smooth velocity gradients and narrow line widths along each filament show that these are massive ordered molecular gas flows around each bubble we now propose observations of a higher order co transition to study the excitation of the gas flows and distinguish two outflow scenarios and at higher spatial resolution to resolve the circumnuclear structure and discover the fate of the filaments,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.005988165270537138, 0.47597411274909973, 0.04456736147403717, 0.015499284490942955, 0.30024459958076477, 0.10757166892290115, 0.030706724151968956, 0.01184641569852829, 0.007601650431752205]"
475,2018.1.00876.S,inventory of molecular gas in a z galaxy group a test case for environmental star formation regulation in galaxies how do dense environments such as groups and clusters affect star formation regulation and galaxy growth what are the physical processes responsible for quenching in these structures this proposal adresses these questions by probing the overall molecular gas content in and around the galaxies living in the cosmos gr group at z deep muse observations indeed revelead a huge and unexpected ionized gas structure wrapping around of the galaxies located in an over dense region of this group this gas has probably been expelled recently from the galaxies due to tidal interactions stripping or outflows the goal of this proposal is to make a census of the overall molecular gas content i e both in the galaxies and in the intra group medium available for future star formation in this remarkable structure to achieve this goal we will map this region in co in order to unveil the extended molecular gas in the intra group medium characterize the star formation efficiency in the galaxies and their potential dependence with their location in the structure these observations will provide crucial tests for star formation regulation models in galaxies,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0]","[0.0073253619484603405, 0.7850064039230347, 0.036462780088186264, 0.013315302319824696, 0.08413853496313095, 0.025602057576179504, 0.030304238200187683, 0.010489754378795624, 0.007355480454862118]"
476,2018.1.00974.S,kinematic diversity at z resolving co in gas rich cluster galaxies we have produced some of the first exquisite velocity maps of molecular gas in high z cluster galaxies using these cycle data delivered to us within the past month are rich in information with only a single pointing we have spatially resolved co in cluster galaxies on kpc scales and discovered a diversity of kinematic structure we aim to further exploit this efficient multiplexing strategy by targeting two new clusters at z our proposed observations include gas rich cluster galaxies with enhanced molecular gas fractions drawn from noble et al and an additional spectroscopically confirmed star forming cluster galaxies all within pointings in band with the first large sample of spatially and velocity resolved co in z clusters we will characterize the fraction of ordered versus kinematically complex galaxies and compare global molecular gas features to that of the stellar component as demonstrated with our pilot study in cycle is well positioned to unequivocally map high z molecular gas in great detail targeting known gas rich cluster galaxies at z harnesses this potential in hours,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.008335468359291553, 0.7827532887458801, 0.04288612678647041, 0.014349162578582764, 0.07346247136592865, 0.02786414325237274, 0.031933557242155075, 0.01089969091117382, 0.007516144309192896]"
477,2018.1.01035.T,direct sublimation vs gas phase synthesis a comet too proposal comets contain ice dust and debris left over from the formation of the solar system having remained in a relatively quiescent state ever since their compositions provide unique insights into the thermal and chemical properties of the protosolar disk and prior interstellar cloud detections of complex organic molecules in cometary comae are becoming routine using single dish mm wave observations but the common assumption that these species originate in the cometary ice is largely untested our latest chemical hydrodynamic coma models point to gas phase chemistry as a possible origin for some of these species we propose to use to map the distributions of hc n nh cho ch cn and other molecules including known extended source species in a bright target of opportunity comet to reveal whether these species arise directly from the sublimation of cometary ice or whether they are instead synthesized as products of gas phase chemistry in the coma in case of only a faint comet in cycle we will focus on mapping the distributions of h co hnc and other abundant species to elucidate the nature of their extended coma sources and compare to previous limited mapping results,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.010317950509488583, 0.14439615607261658, 0.05887310579419136, 0.028958747163414955, 0.4193146824836731, 0.2586207091808319, 0.04076271131634712, 0.023523850366473198, 0.01523214764893055]"
478,2018.1.01037.S,formaldeyde distribution and formation in embedded t tauri disks simple organics such as formaldeyde h co are the bricks for the formation of complex organic and prebiotic molecules to constrain their abundance and distribution in protoplanetary disks is key to understand organics inheritance formation and transfer to the forming planets while h co has been imaged in two protoplanetary disks the chemistry of less evolved t tauri disks still embedded in their envelope is poorly explored despite the difficulty to disentangle the different emitting components in strongly accreting ejecting systems these are associated with brigth h co emission hence are ideal to investigate organic chemistry in disks recently our team imaged a ring of h co in the embedded disk of dg tau located beyond the co snowline au and extending byond the edge of the millimeter dusty disk disk modeling indicates that gas phase processes and desorption from grains cannot account for the observed intensity and suggests that h co is formed in situ on the ices beyond the co snowline based on the test case of dg tau we propose a survey of h co in a sample of embedded t tauri disks to investigate the distribution and formation of simple organics,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.011764666996896267, 0.107744000852108, 0.061126187443733215, 0.03127853572368622, 0.4241602122783661, 0.27272921800613403, 0.04593956470489502, 0.027134515345096588, 0.018123138695955276]"
479,2018.1.01050.S,heavily resolving the molecular gas layer in a protoype of edge on galaxies ngc we propose to directly measure the thickness of molecular gas layer in an edge on galaxy ngc this measurement requires high linear resolution high sensitivity k for km s channel width and wide spatial coverage by which is possible by in a sensible integration time hours for m array the thickness of molecular gas layer is important in numerous studies of star formations i e deriving the volume density of molecular gas and galaxy structure i e comparison to the expectation from hydrostatic equilibrium this measurement would also be an important constraint to study the star formation efficiency per free fall time in the sample of phangs large program previous measurements have only barely resolved the vertical distribution of molecular gas or only limited to the central region therefore we propose to overcome these limitations by observing the whole stellar disk kpc in radius with finer resolution pc and better sensitivity about solar mass per square parsec,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.006301917601376772, 0.6353604197502136, 0.037691161036491394, 0.015828941017389297, 0.1946190893650055, 0.06072314828634262, 0.031209371984004974, 0.010977477766573429, 0.0072884876281023026]"
480,2018.1.01056.S,understanding column densities toward massive gas flows in gas rich central galaxies has shown that radio agn drive massive flows of molecular gas in central cluster galaxies the molecular gas has likely condensed from low entropy gas in the cluster core that has been lifted by x ray cavities however the uplifted masses rival the maximum mass that the cavities can lift implying a remarkably efficient coupling measurements of column density in these massive molecular flows are required to accurately calibrate the uplifted mass instead of relying on the galactic co to h conversion we propose to test this by mapping the distribution of molecular gas in zw using every co transition up to co zw is a prime candidate to address this issue as it is both extremely gas rich and is experiencing a powerful agn outburst making it an ideal candidate for hosting agn driven gas flows it is also one of the few bcgs in which all four low j co lines can be observed by these observations will allow the column density and co to h conversion factor to be measured in both the molecular filaments and the nuclear gas revealing any spatial variations in gas excitation and molecular mass calibration this will be the first analysis of its kind in a bcg,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006903598550707102, 0.721107542514801, 0.05240258947014809, 0.017026623710989952, 0.10852756351232529, 0.03755974397063255, 0.03556207939982414, 0.012766962870955467, 0.00814333651214838]"
481,2018.1.01106.S,after the fall an ultra high resolution view of the molecular gas in a post starburst galaxy post starburst galaxies psbs are an important stage in the buildup of the present day quiescent galaxy population likely relics of vigorously starbursting major gas rich mergers psbs had their star formation quenched within the last gyr we previously discovered extremely compact turbulent molecular reservoirs in a sample of psbs all exhibiting extreme star formation suppression this observing plan targets a single gas rich post starburst aiming to resolve its co and mm continuum emission on pc scales our cycle target unresolved at pc scales possesses a gas surface density at least equivalent to arp but with a x lower star forming efficiency one of the most extreme objects of its kind provides a unique opportunity in its extended configuration it delivers exquisite spatial resolution providing the pc physical resolution needed to fully resolve the incredibly dense molecular gas in this psb this is perhaps our best option to discern the mechanism which is suppressing star formation in psbs a result which will significantly advance our understanding of how starbursting galaxies die and fade into quiescence,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.006939757149666548, 0.7711257338523865, 0.04022806137800217, 0.013819992542266846, 0.09113982319831848, 0.030339136719703674, 0.02909977361559868, 0.010303854942321777, 0.0070038652047514915]"
482,2018.1.01123.S,cold gas around black holes fueling and feedback in galaxy mergers we propose to obtain very long baseline observations of co to measure the distribution and kinematics of cold molecular gas in the central few hundred parsecs of two outflow host galaxies iras f and iiizw our adaptive optics integral field spectroscopy has identified two key features within the nuclei of these galaxies collimated warm molecular outflows and central dynamical masses times larger than those predicted by black hole scaling relations only can provide the resolution matched molecular gas observations needed to measure the temperature distributions and mass loading factors of these confirmed nuclear outflows a fundamental question regarding central engine feedback in galaxy evolution the large central dynamical masses measured from our ao observations may be identifying a large mass of gas that will eventually fuel the black hole or be entrained in a molecular outflow our proposed observations will therefore either confirm some of the most extreme black hole scaling relation offsets or identify systems poised to undergo a massive central agn accretion or starburst event,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0056276340037584305, 0.07711564749479294, 0.022686904296278954, 0.011037587188184261, 0.6500890254974365, 0.19725890457630157, 0.018722306936979294, 0.011798799969255924, 0.005663156509399414]"
483,2018.1.01142.S,exploring the molecular gas and continuum emission in giant gravitational arcs giant gravitational arcs offer the best opportunity to obtain sub kpc observations of the interstellar medium in high redshift galaxies the first targets were intrinsically infrared luminous lensed galaxies observations that reveal the conditions of the bright end of dusty star forming galaxies here we aim to study the ism of optically bright strongly lensed galaxies we propose observations of mid j co lines and continuum observations in three highly magnified low metallicity star forming galaxies we will obtain gas and dust masses as well as obscured star formation rates in three of the brightest and most studied optical arcs the availability of good lensing models will allow translating our detections into source plane properties one of the main issues associated with the observations of lensed galaxies high magnification values are usually associated with large angular extents in the image plane in these cases the lower resolving power of aca offers the optimal observation setup for the detection of the emission of the arcs the results from this campaign will be crucial for future higher spatial resolutions observations with,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.006460803095251322, 0.2284812480211258, 0.04252002760767937, 0.017016835510730743, 0.47262319922447205, 0.1780749261379242, 0.03250974416732788, 0.014224992133677006, 0.008088246919214725]"
484,2018.1.01208.S,definite test of magnetic braking in b imaging its au disk to observationally study the effects of magnetic field on gas motions in collapsing dense core we propose to observe the class protostar b in co and c o with at au resolution to resolve the gas motions in the innermost au region we have measured the gas motions from au to the inner au in b with our smt sma and observations and found signs of efficient magnetic braking namely no keplerian disk larger than au and removal of angular momentum as seen in mhd simulations with the proposed observations we will reveal the angular momentum transfer down to the inner au region in b and measure the size of its keplerian disk with these measurements we will provide the first observational constraint on the efficiency of magnetic braking if magnetic braking in b is actually inefficient we expect to see dominant rotation in the innermost au region if it is indeed efficient we expect the angular momentum profile continuously decreases toward the center,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.005271667614579201, 0.047465790063142776, 0.017973970621824265, 0.009464885108172894, 0.6586714386940002, 0.23058496415615082, 0.015063793398439884, 0.010483924299478531, 0.005019569303840399]"
485,2018.1.01239.S,spatially resolving the innermost dust formation and wind acceleration zone of the agb star w hya the interplay between the dust formation and the mass loss in agb stars is not yet understood well our multi epoch visible polarimetric imaging of the well studied agb star w hya with vlt sphere zimpol has successfully spatially resolved the clumpy clouds of large transparent dust grains very close to the star stellar radii and their salient time variations furthermore our sphere zimpol images in the halpha line and ir interferometric data in the micron co lines taken with vlti amber reveal the coexistence of dust shock heated hot gas and molecular gas within stellar radii we propose observations of w hya in the hcn line at ghz a good tracer of shocks and gas kinematics we aim at mapping the velocity field within stellar radii with a spatial resolution of mas comparison of the observed velocity field with the images of the dust clouds enables us to directly examine whether or not the scattering of photons by large grains is driving mass loss as the current theory predicts in addition the data of the hcn line are important for improving our understanding of the non equilibrium chemistry governed by the shocks,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.00583677040413022, 0.09261076897382736, 0.0270109623670578, 0.012735770083963871, 0.5728784203529358, 0.2502466142177582, 0.019093140959739685, 0.013174000196158886, 0.006413562688976526]"
486,2018.1.01242.S,fragmentation of serpens firs a class protostellar disk protostellar disks are formed as a natural consequence of conservation of angular momentum during star formation they are the cradle of both stars and planets a fragmenting protostellar disk may cause short accretion bursts form a stable stellar or planetary companion around the central star or even produce massive exoplanets observationally its a challenge to identify and observe a good candidate that meets the requirement for disk fragmentation serpens firs is one of the few known intermediate mass protostar that has a protostellar disk massive enough to meet the requirement for disk fragmentation we propose to observe the young serpens firs class protostar in band continuum and line emissions co c o c o and cn in order to measure the physical properties of a young disk that is expected to be fragmenting identify whether or not it has a keplerian rotation and constrain the mass of the central protostar with the direct observation we will test the existing theories of protostellar disk fragmentation,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.005553046241402626, 0.027921652421355247, 0.014561331830918789, 0.008811277337372303, 0.6849712133407593, 0.22898320853710175, 0.012868155725300312, 0.01156705990433693, 0.004763056058436632]"
487,2018.1.01276.S,tracing the heritage of cometary water through the hdo h o ratio materials throughout the solar system exhibit differing degrees of deuterium enrichment the measurement of which provides clues to their origin and thermal history we propose to measure the d h ratio in water in comet p giacobini zinner to test whether the cometary water originated in the interstellar medium or has been significantly processed simultaneous emission line observations of other species will be used to measure the temperature and will allow the retrieval of accurate production rates using a non lte excitation code the proposed measurements will advance our knowledge of how and where comets formed and help elucidate the role of comets in delivering water and organics to primitive planetary surfaces,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0, 0.8571428571428571, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.016408439725637436, 0.11348266154527664, 0.06812308728694916, 0.04081757739186287, 0.3952493667602539, 0.2502409815788269, 0.049126382917165756, 0.03826626017689705, 0.028285246342420578]"
488,2018.1.01288.S,studies of disk outflow systems in high mass star formation with kava and we propose a survey of high mass young stellar objects hm ysos associated with the ghz h o masers to investigate physical properties of their disk outflow systems we have been conducting monitoring observations of the ghz h o masers toward hm ysos to investigate d velocity structures of outflows in the kava kvn and vera array large program in the proposed band observations we will identify powering sources of outflows traced by the ghz h o masers and obtain their physical properties using dust continuum in addition we will observe molecular lines to reveal spatial and velocity structures thermal lines of ch oh and hcooch and ghz class ii ch oh maser trace disks while thermal sio and ghz class i ch oh masers probe outflows they will be used to fill the gap between central hm ysos and maser distributions emitted in the outflows we can derive physical parameters such as dynamical time scale mass loss rate mass accretion rate etc by combining the kava proper motion measurements these comprehensive studies will be compared with theoretical models to understand mass accretion through disks mass ejection and feedback to the ambient gas,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.004960264544934034, 0.08057862520217896, 0.020803704857826233, 0.010074947960674763, 0.65020352602005, 0.20292817056179047, 0.015484971925616264, 0.010011776350438595, 0.004953986499458551]"
489,2018.1.01306.S,does a bright smg have a giant rotating gas disk submillimeter bright galaxies smgs are gas and dust rich massive galaxies and of importance as progenitors of massive early type galaxies in the local universe recently we discovered a bright smg sfr msun yr with very extended molecular gas disk kpc which resides in a z proto cluster core the current arcsec mapping uncovered overall velocity gradient which appears to be unusual giant rapid rotating disk but the apparent velocity gradient may be from major merger at the current spatial resolution here we propose arcsec mapping of co line from the smg to finally unlock the gas dynamics and distributions we will also observe other z smgs in the same fov and compare the gas properties with the giant extended smg utilizing the time effectively thus this band observation will uncover the fueling mechanism of multiple smgs at the proto cluster core where the ancestors of massive ellipticals were assembling the stellar mass rapidly,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006201850716024637, 0.18875029683113098, 0.04022033512592316, 0.014878690242767334, 0.5070344805717468, 0.1984141767024994, 0.024540089070796967, 0.012750954367220402, 0.0072090839967131615]"
