project_code,standardized_text,Target_Vector
2016.1.01520.S,spiral structure and clump kinematics in the gravitationally unstable disk around l irs b cycle observations toward the triple protostar system l irs b have yielded a tantalizing discovery of a fragmenting circumbinary disk with spiral structure this source shows direct observational evidence for disk fragmentation actively taking place and our analysis indicates that the disk itself is still marginally unstable the previous observations however did not resolve the inner circumbinary disk nor the origin point of the detected spiral structure furthermore the current c o and co observations are unable to characterize the kinematics of the widely separated au protostellar clump relative to the circumbinary disk thus to better understand the origins of the spiral structure and clump kinematics we propose continuum observations at micron and resolution while simultaneously probing gas kinematics with the rarified c o isotopologue and the high density tracers h co and h cn,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.1.01533.S,spatially extended continuum and line emission for the doradus star forming region the high angular resolution and sensitivity of makes it possible to study the core mass function in our nearest neighbors the magellanic clouds with similar mass sensitivity and spatial resolution as is obtained for molecular clouds with single dish telescopes in our own galaxy we are carrying out an archival project with to study the core mass function using continuum and eventually spectral line observations of star forming regions in the lmc here we are proposing for aca stand alone observations in bands and of the doradus region combining these new data with similar data obtained in cycle will remove the significant negative bowls in the existing maps and result in maps of doradus of similar quality to those obtained of other regions of the lmc in later cycles,"[0.0, 0.0, 0.5384615384615384, 0.0, 0.0, 0.46153846153846156, 0.0, 0.0, 0.0, 0.0]"
2016.1.01535.S,storm in a teacup assessing the impact of agn feedback on host galaxy gas for a representative low z quasar an outstanding issue of galaxy formation models is exactly how quasars impact their host galaxies we are constraining the prevalence of outflows by combining multiple observational datasets of representative sources we propose for co observations of a key object from our sample the teacup agn z we have identified ionised outflows radio jets and bubbles on kpc scales suggesting that such phenomena are not strictly limited to extreme sources and clusters our proposed observations will provide crucial information on the molecular gas we will measure the distribution and velocity structure comparing to the ionised gas and radio structures and to the x ray properties revealed by our extremely recent april chandra observation which reveals a striking extended hot gas structure we will establish if the jet bubbles are accelerating destroying molecular gas and if the outflows are not predominantly in an ionised form these data will provide insight into how quasars couple energy to their host galaxies importantly this will be for a representative object from a well defined systematically selected parent sample,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.1.01539.S,distribution of dense molecular gas in the active center of lupus the critical processes on the star formation process occur on spatial scales ranging from pc to au when the gas moves from dense cloud core onto protostellar envelope scales these scales determine the mass reservoir of the forming stars and the number of companions in multiple systems lupus is among the nearest low mass star forming clouds in the southern hemisphere and the central core of lupus has the right angular size and protostellar density and variety to allow us to measure the gas processes on scales from cores to envelopes using the aca as a stand alone instrument in band we will observe co co c o h co and dcn lines in band to sample the large scale gas in the filaments co high velocity outflow emission co plus co and c o for opacity correction structure of the protostellar envelope co and c o and high density dcn and temperature h co gas and dust in the continuum thus we will obtain a comprehensive dynamical state of lupus to investigate its internal fragmentation and feedback processes,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01546.S,first direct molecular gas measurements in normal z star forming galaxies we propose a pilot project to observe the co line plus the dust continuum close to the ir peak in four normal main sequence star forming galaxies at z from this we will measure for the first time directly the molecular gas content the corresponding gas fraction and the molecular gas depletion timescale in such high redshift galaxies the observations will also allow us to compare the direct measure of the molecular gas mass from co to that estimated from the dust mass assuming a constant dust to gas ratio our sources are selected from a large spectroscopic survey in a field with abundant ancillary data combined with recent and ongoing observations targeting z galaxies our measurements will allow us to study the redshift evolution of the molecular gas fraction and depletion timescales beyond z and out to z this will provide important tests and constraints on our understanding of gas accretion and star formation in the high redshift universe,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01548.S,imaging ultra high velocity molecular gas in the w supernova remnant w is a mixed morphology supernova remnant which is interacting with a giant molecular cloud gmc we have mapped the w gmc in co j line to analyze the kinematics of shocked molecular gas and discovered an ultra high velocity wing feature which was named bullet it arises from the w gmc having a velocity width of km s this velocity width is a factor of broader than that of typical wing emission there it is adjacent to an intense blob of ghz continuum and a nebulosity of h micron ro vibrational line emission in order to investigate the nature and origin of this anomalously broad velocity width feature we propose high resolution co j imaging of the bullet with the huge kinetic energy of the bullet as well as its compact apperarance indicates that it has been accelerated by a certain local activity which was triggered by a passage of a sn blast wave high quality data will be combined with the single dish data in stock to obtain high fidelity images of shock probes such images will provide essential information to understand this peculiar object which could belong to a heretofore unrecognized population,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.1.01552.S,characterizing diffusive processes in the b protostar the ionization fraction in protostellar environments is a key ingredient responsible for the efficiency of most diffusive processes allowing to diffuse the magnetic field in protostellar enevlopes therefore modifying strongly the efficiency of magnetic braking during the main accretion phase recent observational and theoretical results highlight the role of magnetic braking in other long standing problems in astronomy such as the angular momentum problem and the formation of stellar binaries and disks here we propose to simultaneously and independently characterize the magnetic topology magnetic intensity and diffusive processes in a young protostar b using observations of molecular ions to be combined with our already obtained polarization data we will characterize finely the coupling of the field to the circumstellar gas and describe the efficiency of magnetic braking to drive angular momentum transport regulate the accretion rate and affect disk formation in this young accreting protostar,"[0.0, 0.0, 0.4090909090909091, 0.0, 0.0, 0.5909090909090909, 0.0, 0.0, 0.0, 0.0]"
2016.1.01553.S,a critical comparison of different methods to measure smbh masses with the unprecedented spatial resolution and sensitivity of the newly proposed molecular gas kinematics method holds great potential to accurately measure supermassive black hole smbh masses in galaxies of all types however degeneracies between modelling parameters limits the current measurement uncertainties and different measuring techniques have rarely been cross calibrated here we thus propose to cross check the molecular gas method with that of megamaser disks that currently provides the most accurate extragalactic smbh masses co emission will therefore be observed to verify the existence of molecular gas in the nucleus of maser galaxies if strong emission is detected higher resolution observations will complete the smbh mass measurement in the future enabling the first independent check of the method data from this proposal also enable to study the process of angular momentum transfer across different spatial scales from the molecular gas disk to the accretion disk and thus of smbh feeding mechanisms both highly contentious issues,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01554.S,resolving water emission in the early universe we propose to image water ghz and infrared luminosity in three strongly lensed starforming galaxies at z from the spt survey with the aid of gravitational lensing we will achieve kpc spatial resolution in the source plane in bands and with arcsecond angular resolution this will be the first time the l h o l ir correlation and dust temperature will spatially resolved in galaxies at high redshift these observations will provide a powerful constraint on the kinematics of the fir field and help understand the relation between star formation and star formation potential at high redshift,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01559.S,resolved kennicutt schmidt law at z we propose to conduct the first measurement of a spatially resolved kennicutt schmidt law at z when the universe was its current age our target sample of luminous infrared galaxies were detected in cycle observations we propose high resolution co emission line observations with to trace the molecular gas surface density we trace star foramtion using new high resolution ghz data taken as part of the vla cosmos survey our proposed observations will also result in resolved kinematics and dust continuum measurements allowing us to independently constrain the co to h conversion factor,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01565.S,the fine structure of an extreme lensed starburst galaxy at z we propose to observe a full diagnostic suite of five far ir fine structure lines in an extraordinary starburst galaxy at the end of cosmic reionization through the power of gravitational lensing our observations will measure the metallicity radiation field density kinematics and agn effects with effective resolution of a few hundred parsecs which has only been possible to date in the nearest star forming galaxies spt at z already has high resolution maps of the dust continuum and low j co emission as well as integrated measurements of mid j co cii and full radio to ir sed coverage these observations effectively complement herschel studies of local ulirgs and extend the study of these lines to the first gyr of cosmic history the high sensitivity high resolution studies made possible by will address several key questions about the first stages of galaxy evolution including the production of heavy elements stellar and agn feedback mechanisms the energetics of the ism and the dynamics of the first galaxies,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.1.01567.S,spectral scan of co emission from z panstarrs wise qso candidates we propose spectroscopy of qso candidates at z jointly selected from the wise and new panstarrs pi surveys the combination of the wise and ps bands allows for cleaner separation of z qso candidates from the brown dwarfs compared to the previous studies to measure the redshifts of the candidates we propose a new and time efficient spectroscopic survey with by simultaneous spectral scans of co and co emission in band the spectral scan in the lower receiver sideband within and ghz aims at detection redshifted qsos are known,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01573.S,abell the bullet from a smoking gun we request a single band observation of co in a core of remarkable cluster of galaxies abell our recent vlt muse observations of this cluster identify a long kpc almost linear filament of optical line emission that passes across the centre of the brightest cluster galaxy we outline several possible explanations for this morphology merger with a cluster member agn drived outflow and gas cooling from intracluster gas sloshing around the cluster core that from the muse data alone are all plausible with the addition of an observation of the cold molecular gas we are confident that we can disentangle these three alternative explanations our strong suspicion is that the gas cooling is the most likely given recent observations of less extreme clusters but the evidence is only circumstantial without the co data whichever explanation is found to be most plausible the implications of the result will be significant and be far reaching,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01592.S,exploring the evolution of molecular clouds in ngc we propose to observe the grand design nearby spiral galaxy ngc in hcn hco cs and sio with a resolution of pc fine enough to identify giant molecular clouds gmcs star formation rate sfr is important parameter of describing molecular cloud evolution it basically depends on amount of molecular gas recently it is suggested that dynamics such as turbulence and streaming motion is important factor of the sfr it is also reported that star formation efficiency of dense gas is constant both in large scale entire galactic disk and in small scale within individual cloud however there are no observations for star formation efficiency of the dense gas at a gmc scale pc it is important to identify the dense clouds in gmcs and derive its star formation efficiency comparing with the large scale gas dynamics such as turbulence and streaming motion we also investigate environment dependence of cloud properties deriving the relation between dense gas mass fraction star formation efficiency star formation efficiency of dense gas virtualized parameter shear strength and stellar feedback,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01599.S,nature and origin of the candidate pre brown dwarf core ophb the origin of brown dwarfs bds is an important astrophysical mystery because its solution can also shed light on how a broad range of objects from typical stars to giant planets are formed and gain their masses using the iram plateau de bure interferometer pdbi at mm we identified a good example of a pre brown dwarf core oph b a self gravitating starless condensation of gas and dust in the brown dwarf mass regime andré et al science our pdbi result tends to support models according to which bds form in a similar manner to normal stars from the direct collapse of a prestellar core because the oph b core is weak and difficult to observe from iram however its basic properties e g radius mass density remain uncertain and its formation mechanism is not well understood we propose aca mosacing observations in bands of oph b and its immediate vicinity in order to obtain robust measurements of its size structure mass and test the hypothesis that the pre bd core was formed as a result of low velocity shock compression,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01601.S,understanding turbulent ambipolar diffusion and core field morphologies in a filament forming massive star turbulence and magnetic field are ubiquitous in molecular clouds and are believed to be the most important forces that regulate star formation at small scales turbulent ambipolar diffusion tad the decoupling of neutrals from magnetic fields and plasma should become inevitable based on the mhd equations li houde the possible signature of tad is the difference in linewidth between ions and neutrals li houde and li et al our recent aste observation has demonstrated the positive correlation between the linewidth difference and b field strength reinforcing the validity of the theory of tad we forsee the capability of measuring b field with this novel method the observation serve as an important step to validating this idea at the same time we want to study how well the core b field inherited the b field in the filaments the thermal dust polarization will tell us to what extent the large scale b field dictates the formation of massive star in this ngc filament,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.1.01609.S,physical properties of massive star forming clumps in the carina nebula the relative importance of the mechanisms that shape the internal structure of the star forming clouds is one of the most important questions in the star formation community the extraordinary capabilities offered by will allow us to obtain detailed map of the dense gas down to size scales pc adequate to resolve the structures associated to dense cores and filamentary structure we propose to make of use of these unprecedented capabilities to map the dense gas in two significantly different clouds located in our nearest rich region of star formation the carina nebula we will use these maps to investigate the role that external pressure plays on determining the densest components inside the diffuse medium in these clouds the stability status of the identified structures will be used to assess whether these are supported by external pressure and at which scale the gravity becomes the dominant force detailed comparison of the distribution of the dense gas and the location of young stellar objects will shed light on the dependence of the star formation threshold on the external pressure in these clouds with different level of impact of stellar feedback,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.01613.S,dynamical flow process of a torus testing a radiation driven fountain model in circinus we try to test one of the physically motivated torus mode radiation driven fountain model towards the nearest type seyfert circinus galaxy from mir interferometric observations circinus has proven to have polar elongated dust emission that is typical for the fountain model wada we will try to reveal the geometrical and kinematic structure of the circumnuclear region of circinus with co and ci emission lines co will probe the dense mid plane of the disk whereas ci will do rather diffuse component especially we expect that co is x ray dissociated at the close vicinity to the agn hence we should use atomic lines such as ci to probe the agn driven dusty outflow that is the key component of the fountain model,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]"
2016.2.00002.S,aca view of filaments and massive star formation the filamentary nature of the interstellar medium and molecular clouds fuels questions about the mass assembly of molecular clumps and dense cores within these non spherical structures we will investigate the ngc complex which is a nearby massive filamentary star forming region this aca spectral line mosaic will spatially and spectrally resolve gas at different evolutionary stages and at a range of densities within the complex these sensitive aca observations will probe the structure and potential substructure of the ngc filament address the question how mass is accreting onto dense cores within the filament and investigate the relative importance of magnetic fields and turbulence across the filament this data will inform the development of theoretical models of massive star formation,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00005.S,spatial distribution of phoshorus nitride towards massive dense cores phosphorus p is a crucial element for the development of prebiotic chemistry despite this great relevance little is known about the chemistry of p in the interstellar medium different theoretical pathways have been proposed to explain the gas phase abundances of p bearing molecules gas phase reactions at high temperatures vs shock induced desorption from grain mantles our group has previously detected the brightest p bearing molecule pn towards massive dense cores in different evolutionary stages starless protostellar and uchii regions using the iram m telescope these single dish data are not able to discriminate between the two competing models while in some sources pn properties follow closely those of the shock tracer sio supporting the shock induced scenario in other sources the pn linewidths are too narrow and the excitation temperatures are too low to be explained by shocks only maps of the molecular emission of pn compared with that of sio at high angular resolution will resolve this question therefore we propose to map the transitions of these two species with towards our sample,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00006.S,recovering extended structures in merger remnants contrary to the classical scenario of galaxy merger in which an elliptical galaxy forms due to a major merger recent studies argued that some fraction of the merger would reemerge as a disk galaxy by forming an extended gaseous disk in order to check this scenario we conducted a co survey on local merger remnants with the cycle m array and found a high occurrence rate of molecular gas disks with various sizes however the data were taken using the m array alone and they were clearly suffering from the missing flux problem up to in the worst case correctly quantifying the true size of the molecular disk and assessing its relation to the stellar size is the key to unambiguously define the type of galaxy the merger will evolve into we thus propose follow up co observations with aca towards merger remnants to accurately measure the extent and amount of molecular gas by combining new aca data with the cycle m array data this study will allow us to accurately evaluate the frequency of the occurrence of extended gas disks in post mergers and offer stronger support to the scenario that merging events are the crossroads of galaxy evolution,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00015.S,debris disk structure around nearby sun like stars with the aca we have assembled resolved millimeter continuum observations of a sample of the eight brightest debris disks around the closest pc sun like fgk stars using these data will allow us to quantify surface density structures and address the basic dynamical processes that govern debris disk evolution to gyr ages place constraints on otherwise inaccessible wide separation planets in these systems from signatures of planet disk interaction and make the first systematic comparative study of planetesimal structures around sun like stars several targets were observed with in previous cycles with archival data available and we received data for all of the remaining targets during cycle while the majority of sources are well detected three targets are missing ciritical data at short baselines we propose aca observations of hd hd and hd to complement existing datasets and better characterize the planetesimal distribution in these debris disks completion and analysis of this nearby sample will provide a benchmark for interpretation of the large population of more distant systems,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]"
2016.2.00033.S,millimeter line variability in irc with compact array the pulsation process is the key to understanding agb wind launching but is difficult to observe recently line variability was found at mm wavelengths and part of which could be due to the pulsation dynamics in the inner circumstellar envelope this offers the possibility to trace the elusive dynamical processes with monitoring at mm wavelengths we performed a systematic single dish monitoring of several millimeter lines toward the archetypal carbon star irc regular line intensity and line shape variations were found although we found phase shifts in the line variability pattens they are not well understood our cycle aca monitoring project is already running to confirm these mm variability features and a cycle project has also been proposed to extend the monitoring and upgrade it to a higher cadence of once a month to better investigate their dynamical origin hereby we propose to improve the running cycle project by upgrading it also to a higher monitoring cadence of once a month this will make up the lost epoch and improve the science output of the entire monitoring project,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00046.S,wisdom from giant molecular clouds to supermassive black holes supermassive black holes smbhs are key to understand galaxy evolution but the smbh mass central velocity dispersion relation underpinning our understanding is based on a relatively small number of measurements and a handful of methods we have shown that it is straightforward to estimate the mass of smbhs in the era by probing the near keplerian rotation of molecular disks around them at high angular resolution as part of mm wave interferometric survey of dark object masses wisdom we have identified numerous promising targets from high resolution dust imaging with hst and hereby request low spatial resolution co imaging of galaxies across the hubble sequence we aim to quantify their molecular gas content thus identifying the best targets for smbh measurements at higher resolution and study the properties of the spatially resolved molecular cloud populations analogously to the local universe where constraining the diffuse emission is essential our work will revolutionise studies of the co evolution of smbhs and galaxies and systematically probe molecular cloud properties in the central bulge dominated regions of many galaxies,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00048.S,cold atomic halo around the massive spiderweb galaxy lighting up the hidden molecular universe with the aca our view on the molecular universe may be severely biased as we will explain technical limitations have prevented us from efficiently recovering all of the cold gas in circum and inter galactic environments using low surface brightness mm techniques we discovered a giant halo of cold molecular gas that surrounds the massive spiderweb galaxy in a proto cluster at z an estimated solar masses of molecular gas is detected in co across kpc where it fuels in situ star formation within the intra cluster medium cycle data revealed the presence of widespread atomic ci but the surface brightness sensitivity of these cycle data is insufficient to compare the ci with the co and ly alpha across the full extent of the halo we propose aca observations of ci to image for the first time atomic gas across the kpc halo environment of a massive high z galaxy we will use this to derive the true mass and chemistry of the cold intra cluster gas and study its nature and origin this project will shed light on the early formation stages of the most massive galaxies and will open an exciting new window on the molecular universe for to explore,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00053.S,wisdom from small scale structure to galaxy scale processes observations of molecular gas at both gmc and galactic scales in external galaxies are key to understanding the molecular cloud mc formation and the relation of small scale structures to galaxy scale processes although the exquisite resolution of allows us to effortlessly resolve individual gmcs in nearby galaxies we have demonstrated a need for low resolution maps in gmc studies to allow complete flux recovery and total mass measurement of cold gas we aim to accurately measure mc including low mass mcs properties and study their relations to galactic environment using a high sensitivity map combining high and low resolution observations investigate larson s relations in external galaxies study star formation relations from large galactic scales to small gmc scales and determine the conversion factor between co flux and h mass using the virial mass method our work will use a uniform methodology to perform a comprehensive analysis of mcs properties across different galaxy environments our aim is to address multiple key open issues regarding mc formation evolution and their relationship to the wider galactic environments,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00056.S,formation of cores within the molecular filaments in the galactic center near sgra in our recently delivered m array hc n and cs maps beam we have found that the giant molecular cloud called mc in the galactic center consists of multiple dense filaments which are spatially associated with the magnetic field lines shown in the jcmt scupol data in our early analysis we find that the magnetic field might be dynamically important to stabilize these filaments even though they are below the tidal threshold we also find that the dense cores traced by the hc n line are located within these filamentary structures as indicated by the jcmt scupol data and the negative strips in our existing m array maps we propose the aca observation to recover the pc scale structures to combine with our m array data in order to investigate the kinematic connection between the dense cores and the filaments as well as the influence of the magnetic field this will be the first high resolution map to reveal the structures of the dense cores filaments near the supermassive black hole sgra,"[0.0, 0.0, 0.6363636363636364, 0.36363636363636365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00079.S,where is deuterium enrichment in infrared dark clouds we propose to investigate the deuterium enrichment in cold dense infrared dark cloud irdc cores by imaging the distribution of the important deuterated molecular ions h d in the two young infrared quiet prestellar cores g and g the great sensitivity of the m array enables us to probe the emission distribution across the desired spatial scales from to comparable to the jeans length of the irdc and the core sizes respectively due to its weak emission h d has never been imaged with existent millimeter arrays our study will provide the first set of interferometric images of h d to better assess the discrepancies between current observational results and theoretical predictions such as lack of correlation in emission peaks among deuterated molecular ions and large difference in line widths,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.2.00098.S,extended molecular outflow in a nearby active galaxy outflows driven by agn are believed to be signatures of feedback in action in the host galaxies of accreting black holes outflows are observed both in molecular and ionised gas but their acceleration mechanisms are still debated in cycle we were awarded m time to obtain co observations of a local active galaxy showing extended ionised outflowing gas via optical nebular line in the inner regions the co emission reveals high velocity wings which are cospatial to the emission of the ionised outflow at large radii however our observations do not reveal the presence of extended diffuse fast gas since we cannot exclude that the current m observations resolve out completely extended molecular outflow emission we propose observations of co with aca to assess the morphology and the size of the molecular outflows up to large scale by combining m observations with the aca images we will compare the properties of the molecular and ionised fast gas in compact and extended regions unveiling the nature of multi phase agn driven outflows this observation will be crucial to asses the impact that such outflows may have on the host galaxy,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00115.S,star formation inside galactic outflows properties of the associated molecular gas and star formation efficiency while galactic outflows are generally invoked to suppress star formation recent models have proposed that the outflowing molecular gas can undergo star formation this new star formation mode would have fascinating important implications since the stars formed in the outflow would have high radial velocities hence this mode may contribute to the morphological and dynamical evolution of galaxies we have recently discovered evidence for star formation occurring in the outflow of a nearby galaxy stars are forming at a rate of about msun yr and with radial velocities of a few hundred km s we propose to characterize the properties of the molecular gas in this star forming outflow with a m array exploratory programme aimed at observing multiple co transitions and a few tracers of the dense molecular gas the goals of the observations are obtain a first assessment of the content of molecular gas and of its distribution in the outflow hence providing the star formation efficiency of this new mode of star formation characterize the properties of the outflowing molecular gas hence shedding light on the conditions that enable star formation in this unusual environment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]"
2016.2.00164.S,an organic exosphere on ceres ceres the target of the dawn mission is known to have a warm liquid bearing interior that is rich in volatiles the detection of aliphatic organic matter on an aqueously altered body admits the possibility that extensive prebiotic synthesis could have occurred on ceres an object of intense interest for the study of primitive bodies and astrobiology nowadays observations of water absorption and hazes on ceres point to the existence of an exosphere on this dwarf planet although organic species are present on the surface of ceres mechanisms such as sputtering by solar wind particles cryovolcanism and thermal sublimation would allow their removal into space forming an organic exosphere based on a tentative detection of hcn emission on ceres with the jcmt we wish to further explore the possible organic component of this exosphere and determine the viability that the surface molecules originate from cometary impacts using the aca m array,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.2.00168.S,the circumstellar disk of a vigorously accreting fuor we will carry out band aca dust continuum and co observations of z cma a binary system composed of an embedded herbig be star and an fu ori object in cycle we proposed band observations of z cma s pi r dong with angular resolution to look for spiral arms and large scale asymmetries as revealed by our subaru scattered light observations liu et al and predicted in our gravitationally unstable disk models for fu ori objects dong et al our program has been approved and partially executed upon inspecting the delivered low resolution data resolution we found significant missing flux in the gas observations to complement existing m array observations and thereby maximize the science return we request aca observations of z cma to supply uv sampling at short uv distances,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00171.S,large scale cold gas structure in protostellar envelopes stars form out of collapsing cold dense protostellar envelopes passively irradiated protostellar envelopes are surrounded by a substantial amount of cold gas in these cold regions co freezes out on the grains and other molecules such as dco are enhanced the chemical differentiation allows us to target the enhanced molecular species to probe the co dark infalling flows only with its high surface brightness sensitivity and correlator flexibility can deliver these lines our previous observations show that multiple tracers are needed to probe the entire infalling gas data in band were previously obtained with minutes of integration due to the lack of uv coverage strong sidelobes are present at the regions of interest a better uv coverage characterized by less than sidelobes can be obtained with at least hours of integration per source higher sensitivity and image quality allow for better quantification of the extent of the cold gas emission these maps are needed to examine the flow of the gas into the inner envelope disk and protostar the cold gas flow will give estimates on the pristine material entering the disk,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00190.S,identification of warm carbon chain chemistry in the isolated hot corino source b recently we have conducted the molecular line observations of the isolated protostellar core b with in order to characterize its chemical composition various complex organic molecules have been detected whose distributions are concentrated in the very small region r au around the protostar this result clearly indicates that b harbors hot corino at the same time we have recognized the moderately bright carbon chain emission cch extended oveer a few au scale this is a characteristic signature of warm carbon chain chemistry wccc hence b is a hot corino source in the vicinity of the protostar with the wccc feature in the larger scale this may be a standard chemical structure of isolated protostellar cores however our observation of b lacks short baseline data which hampers us detailed characterization of the wccc effect in the outer envelope here we propose the aca observation with the same frequency setting as the m data already in hand by combining the aca and m data we will delineate the complete chemical feature of b the reesult will benefit both astrochemistry and star formation communities,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00195.S,direct measurements of pattern speed of bar we propose co observations of nearby barred spiral galaxies whose bar is aligned in the direction of the major axis of the galaxy since molecular gas is expected to flow along the offset ridge in the bar as shown in many simulations we can measure the pattern speed of the bar directly in these galaxies recent studies of the pattern speed of the bar indicate that late type spirals have slow bar while early type spirals have fast bar it may imply the difference of the degree of the central concetration of dark matter or dynamical age of bar since theoretical studies predict that bars slow down by the dynamical friction of the dark matter halo on the other hand other studies reported that the late type spirals have fast bar these inconsistent results would be caused by difference of measurement methods of bar pattern speed used in their studies with the pattern speeds of bar derived from this observation we will confirm whether there is a difference of bar type fast bar or slow bar depending on the morphological type by using our original method,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.2.00197.S,tracing the recycling of intergalactic gas as it builds massive galaxies we have used the c n o far ir fine structure lines to characterize obscured star formation in galaxies at the z to historic peak we discovered that star formation in many of the most luminous galaxies in this epoch extends over several kpc scales likely following a quiescent schmidt kennicutt law in thick molecular disks these disks are likely formed and replenished by gas that falls in from the cosmic web we aim to test this hypothesis by detecting overdense regions of the circum galactic medium cgm where infalling gas mixes with metal rich gas driven out of the galaxy by star formation or agn activity this gas is likely ionized and detectable in the cii line even if abundances are depressed by factors of since the emission is extended over kpc sized regions it is best detected with the large field of view of the aca our best candidate for detecting cgm cii emission is the very luminous star forming galaxy w at z band where sensitivity is high and the field of view is large a detection would strongly support models of gas recycling through infall and outflows in massive star forming galaxies in the epoch of galaxy formation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.2.00200.S,the hybrid disk phenomenon over the stellar mass range based on observations our group recently identified a new class of young myr circumstellar disks that exhibit debris disk like dust properties but have large amounts of co gas of primordial origin these hybrid disks may be the missing links between the protoplanetary and debris disk phases so far hybrid disks are only found around a type stars our proposal has two main goals use co isotopologue observations to decide on the hybrid nature of two known co bearing debris disks around a type stars and look for gas in ten massive debris disks around f m type members of nearby young moving groups by combining our results with previous data we will have an almost complete survey of young debris disks with high fractional luminosity within pc covering the a m spectral type range this will allow us to determine how the incidence of hybrid disks varies over the stellar mass range of solar masses if we find that hybrid disks are exclusive to a type stars this would imply that these stars can retain their primordial gas much longer allowing significantly more time e g for the in situ formation of wide separation uranus like planets,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
